t,v1,v2,v3,v4
12.554,0.589125,0.58375,0.584625,1.414625
12.598,0.5865,0.584625,0.58475,1.165875
12.642,0.585875,0.58475,0.584875,1.13475
12.686,0.585625,0.585625,0.5855,1.617125
12.73,0.58625,0.585375,0.5855,1.74675
12.774,0.586375,0.585125,0.584875,1.70475
12.817,0.58625,0.585125,0.585,1.728375
12.862,0.586375,0.585,0.585,1.8085
12.905,0.586,0.58525,0.58475,1.2195
12.949,0.585875,0.586625,0.58825,2.15575
12.993,0.588625,0.587625,0.582375,1.506375
13.037,0.5855,0.585625,0.5845,1.347125
13.081,0.586,0.584875,0.58475,1.12725
13.125,0.58575,0.585625,0.58525,1.513875
13.169,0.585875,0.5855,0.585,1.824
13.213,0.586125,0.585125,0.585,1.796625
13.257,0.58625,0.585125,0.58525,1.84575
13.301,0.58625,0.58475,0.585,1.872
13.346,0.586125,0.585625,0.585,1.982875
13.39,0.585875,0.585375,0.5875,3.17775
13.433,0.587375,0.585625,0.586625,1.616
13.477,0.58575,0.584875,0.584875,1.47325
13.521,0.58575,0.585,0.5845,1.1975
13.565,0.585875,0.585125,0.58475,1.35325
13.609,0.58575,0.585625,0.585125,1.743875
13.653,0.586125,0.585125,0.58525,1.758125
13.697,0.586,0.585125,0.58475,1.746625
13.741,0.5865,0.585,0.584625,1.69475
13.785,0.5865,0.5855,0.584875,1.77775
13.829,0.58575,0.58525,0.583875,2.02075
13.874,0.586875,0.585875,0.585125,1.503
13.918,0.586625,0.584375,0.585,1.454875
13.962,0.58625,0.585,0.5845,1.26875
14.006,0.58575,0.58525,0.584375,1.21375
14.05,0.585875,0.585375,0.58525,1.51225
14.094,0.585875,0.585,0.5855,1.664125
14.138,0.58625,0.584625,0.585375,1.6405
14.182,0.58625,0.585,0.585,1.656875
14.225,0.586125,0.5855,0.584875,1.719625
14.269,0.58625,0.5855,0.585,1.64325
14.313,0.585625,0.5855,0.5865,2.637
14.357,0.58675,0.5845,0.5835,1.55175
14.401,0.586125,0.58525,0.58475,1.45275
14.445,0.585875,0.585125,0.58425,1.284625
14.489,0.585875,0.585,0.585,1.417
14.535,0.586125,0.584875,0.5855,1.647625
14.58,0.58625,0.58525,0.584875,1.6935
14.624,0.586,0.58525,0.584875,1.742375
14.668,0.586125,0.585375,0.584875,1.71875
14.717,0.586125,0.585,0.585375,1.864625
14.765,0.58625,0.584875,0.585625,2.921
14.811,0.587,0.585125,0.584,1.690125
14.856,0.586,0.58525,0.58475,1.577
14.898,0.586125,0.585125,0.584625,1.37875
14.941,0.586125,0.58525,0.58475,1.415125
14.984,0.586125,0.585125,0.58525,1.665875
15.027,0.58625,0.58575,0.585125,1.779625
15.07,0.586,0.585125,0.584625,1.78275
15.111,0.586375,0.585375,0.585,1.806625
15.153,0.58625,0.585375,0.58525,1.860375
15.194,0.586125,0.58525,0.585125,1.910625
15.236,0.586,0.585125,0.587125,3.182
15.277,0.58775,0.585875,0.586,1.67225
15.318,0.586125,0.584875,0.584875,1.51875
15.36,0.586125,0.585125,0.584625,1.3045
15.401,0.585875,0.585,0.585125,1.306625
15.443,0.58575,0.585125,0.585625,1.634875
15.484,0.586,0.5855,0.585125,1.804375
15.525,0.586125,0.58525,0.58475,1.7915
15.568,0.585875,0.585375,0.585,1.84525
15.612,0.586625,0.585125,0.585125,1.88475
15.656,0.5865,0.585125,0.585,1.879375
15.7,0.585875,0.585375,0.587125,3.193125
15.744,0.586875,0.58525,0.586625,1.613625
15.787,0.5855,0.58525,0.58425,1.425875
15.832,0.586375,0.58525,0.58475,1.1415
15.876,0.585875,0.585125,0.585,1.352875
15.92,0.586,0.585375,0.585375,1.727125
15.964,0.58625,0.585,0.585,1.754625
16.008,0.585875,0.585375,0.5845,1.73225
16.052,0.586125,0.585375,0.58475,1.723625
16.095,0.586375,0.585125,0.5855,1.845625
16.139,0.58625,0.585,0.584,2.13925
16.183,0.58775,0.587875,0.585375,1.63625
16.227,0.5895,0.5835,0.58425,1.4545
16.271,0.58625,0.585,0.584625,1.209875
16.315,0.586,0.584875,0.58475,1.097875
16.359,0.586,0.585125,0.585625,1.574125
