Time (s) Z (um)	Deflection (V)
0.30412	-1.1031	-0.846583
0.30488	-1.1044	-0.850856
0.30564	-1.1057	-0.851161
0.3064	-1.107	-0.849025
0.30716	-1.1083	-0.853298
0.30792	-1.1096	-0.849635
0.30868	-1.1109	-0.845973
0.30944	-1.1122	-0.850856
0.3102	-1.1135	-0.856044
0.31096	-1.1148	-0.84933
0.31172	-1.1161	-0.847804
0.31248	-1.1174	-0.847194
0.31324	-1.1187	-0.84933
0.314	-1.12	-0.850246
0.31476	-1.1213	-0.851772
0.31552	-1.1226	-0.855129
0.31628	-1.1239	-0.852992
0.31704	-1.1252	-0.853908
0.3178	-1.1265	-0.850246
0.31856	-1.1278	-0.852077
0.31932	-1.1291	-0.853298
0.32008	-1.1304	-0.853908
0.32084	-1.1317	-0.855434
0.3216	-1.133	-0.852992
0.32236	-1.1343	-0.850551
0.32312	-1.1356	-0.850246
0.32388	-1.1369	-0.847499
0.32464	-1.1382	-0.849635
0.3254	-1.1395	-0.845973
0.32616	-1.1408	-0.851161
0.32692	-1.1421	-0.849025
0.32768	-1.1434	-0.84933
0.32844	-1.1447	-0.84872
0.3292	-1.146	-0.845973
0.32996	-1.1473	-0.846278
0.33072	-1.1486	-0.850246
0.33148	-1.1499	-0.84994
0.33224	-1.1512	-0.851466
0.333	-1.1525	-0.846278
0.33376	-1.1538	-0.84872
0.33452	-1.1551	-0.854823
0.33528	-1.1564	-0.849025
0.33604	-1.1577	-0.847804
0.3368	-1.159	-0.846278
0.33756	-1.1603	-0.850551
0.33832	-1.1616	-0.846889
0.33908	-1.1629	-0.846583
0.33984	-1.1642	-0.851161
0.3406	-1.1655	-0.84933
0.34136	-1.1668	-0.848415
0.34212	-1.1681	-0.84933
0.34288	-1.1694	-0.855434
0.34364	-1.1707	-0.853908
0.3444	-1.172	-0.851466
0.34516	-1.1733	-0.852992
0.34592	-1.1746	-0.852382
0.34668	-1.1759	-0.851161
0.34744	-1.1772	-0.851466
0.3482	-1.1785	-0.853908
0.34896	-1.1798	-0.850551
0.34972	-1.1811	-0.850551
0.35048	-1.1824	-0.851772
0.35124	-1.1837	-0.846889
0.352	-1.185	-0.851466
0.35276	-1.1863	-0.850246
0.35352	-1.1876	-0.849025
0.35428	-1.1889	-0.843532
0.35504	-1.1902	-0.843532
0.3558	-1.1915	-0.842006
0.35656	-1.1928	-0.841395
0.35732	-1.1941	-0.845058
0.35808	-1.1954	-0.845058
0.35884	-1.1967	-0.84872
0.3596	-1.198	-0.84872
0.36036	-1.1993	-0.842006
0.36112	-1.2006	-0.844447
0.36188	-1.2019	-0.847499
0.36264	-1.2032	-0.846583
0.3634	-1.2045	-0.845668
0.36416	-1.2058	-0.854213
0.36492	-1.2071	-0.850246
0.36568	-1.2084	-0.848415
0.36644	-1.2097	-0.84872
0.3672	-1.211	-0.847804
0.36796	-1.2123	-0.843532
0.36872	-1.2136	-0.847804
0.36948	-1.2149	-0.854518
0.37024	-1.2162	-0.85757
0.371	-1.2175	-0.855739
0.37176	-1.2188	-0.84933
0.37252	-1.2201	-0.850246
0.37328	-1.2214	-0.850246
0.37404	-1.2227	-0.84994
0.3748	-1.224	-0.84872
0.37556	-1.2253	-0.844142
0.37632	-1.2266	-0.846278
0.37708	-1.2279	-0.845973
0.37784	-1.2292	-0.845973
0.3786	-1.2305	-0.844752
0.37936	-1.2318	-0.845058
0.38012	-1.2331	-0.84872
0.38088	-1.2344	-0.848109
0.38164	-1.2357	-0.848109
0.3824	-1.237	-0.848109
0.38316	-1.2383	-0.843532
0.38392	-1.2396	-0.842006
0.38468	-1.2409	-0.842311
0.38544	-1.2422	-0.842311
0.3862	-1.2435	-0.845058
0.38696	-1.2448	-0.850856
0.38772	-1.2461	-0.851772
0.38848	-1.2474	-0.852687
0.38924	-1.2487	-0.848109
0.39	-1.25	-0.843837
0.39076	-1.2513	-0.846278
0.39152	-1.2526	-0.848415
0.39228	-1.2539	-0.845973
0.39304	-1.2552	-0.851161
0.3938	-1.2565	-0.851772
0.39456	-1.2578	-0.853603
0.39532	-1.2591	-0.852687
0.39608	-1.2604	-0.852077
0.39684	-1.2617	-0.846278
0.3976	-1.263	-0.846278
0.39836	-1.2643	-0.838649
0.39912	-1.2656	-0.848109
0.39988	-1.2669	-0.845363
0.40064	-1.2682	-0.847804
0.4014	-1.2695	-0.848109
0.40216	-1.2708	-0.850551
0.40292	-1.2721	-0.847804
0.40368	-1.2734	-0.845668
0.40444	-1.2747	-0.849635
0.4052	-1.276	-0.847499
0.40596	-1.2773	-0.844142
0.40672	-1.2786	-0.844447
0.40748	-1.2799	-0.844752
0.40824	-1.2812	-0.843837
0.409	-1.2825	-0.849635
0.40976	-1.2838	-0.847194
0.41052	-1.2851	-0.847194
0.41128	-1.2864	-0.852382
0.41204	-1.2877	-0.854518
0.4128	-1.289	-0.852382
0.41356	-1.2903	-0.852687
0.41432	-1.2916	-0.847499
0.41508	-1.2929	-0.84872
0.41584	-1.2942	-0.843837
0.4166	-1.2955	-0.842006
0.41736	-1.2968	-0.846889
0.41812	-1.2981	-0.843837
0.41888	-1.2994	-0.850551
0.41964	-1.3007	-0.853603
0.4204	-1.302	-0.847194
0.42116	-1.3033	-0.847804
0.42192	-1.3046	-0.848415
0.42268	-1.3059	-0.846889
0.42344	-1.3072	-0.847499
0.4242	-1.3085	-0.84872
0.42496	-1.3098	-0.852077
0.42572	-1.3111	-0.849025
0.42648	-1.3124	-0.847499
0.42724	-1.3137	-0.847194
0.428	-1.315	-0.850246
0.42876	-1.3163	-0.845363
0.42952	-1.3176	-0.852687
0.43028	-1.3189	-0.850856
0.43104	-1.3202	-0.84872
0.4318	-1.3215	-0.839869
0.43256	-1.3228	-0.842311
0.43332	-1.3241	-0.846278
0.43408	-1.3254	-0.845363
0.43484	-1.3267	-0.847804
0.4356	-1.328	-0.843532
0.43636	-1.3293	-0.84109
0.43712	-1.3306	-0.843837
0.43788	-1.3319	-0.845363
0.43864	-1.3332	-0.842921
0.4394	-1.3345	-0.8417
0.44016	-1.3358	-0.846278
0.44092	-1.3371	-0.845058
0.44168	-1.3384	-0.842921
0.44244	-1.3397	-0.839259
0.4432	-1.341	-0.846889
0.44396	-1.3423	-0.842311
0.44472	-1.3436	-0.844447
0.44548	-1.3449	-0.853603
0.44624	-1.3462	-0.849635
0.447	-1.3475	-0.850856
0.44776	-1.3488	-0.846278
0.44852	-1.3501	-0.849025
0.44928	-1.3514	-0.847194
0.45004	-1.3527	-0.861232
0.4508	-1.354	-0.852992
0.45156	-1.3553	-0.848415
0.45232	-1.3566	-0.850551
0.45308	-1.3579	-0.855129
0.45384	-1.3592	-0.849025
0.4546	-1.3605	-0.845973
0.45536	-1.3618	-0.849635
0.45612	-1.3631	-0.855129
0.45688	-1.3644	-0.853603
0.45764	-1.3657	-0.853298
0.4584	-1.367	-0.853908
0.45916	-1.3683	-0.852382
0.45992	-1.3696	-0.848415
0.46068	-1.3709	-0.854518
0.46144	-1.3722	-0.853908
0.4622	-1.3735	-0.856349
0.46296	-1.3748	-0.851772
0.46372	-1.3761	-0.850551
0.46448	-1.3774	-0.850856
0.46524	-1.3787	-0.851466
0.466	-1.38	-0.853298
0.46676	-1.3813	-0.84872
0.46752	-1.3826	-0.853298
0.46828	-1.3839	-0.856349
0.46904	-1.3852	-0.854823
0.4698	-1.3865	-0.855129
0.47056	-1.3878	-0.850246
0.47132	-1.3891	-0.852687
0.47208	-1.3904	-0.850856
0.47284	-1.3917	-0.849635
